Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1,3522.9327652699244,14641.107132110796,3394.600161067008,3651.2653694728415,36306.328817742746,2659.431345926688,11534.520933151322,2558.328670000092,2760.534021853284,27442.793862499315,0.755975783451548,0.1397182877168545,0.7547511211664022,0.7572004457366939,0.7570035524398571
5,4719.55643202463,17422.091287762276,4566.847874847565,4872.264989201695,48477.13493134183,3663.745525890354,14167.641539810598,3539.562954325824,3787.9280974548856,37679.62825214869,0.7739808077618485,0.1627763712070467,0.7725540361774862,0.7754075793462109,0.7751781922208902
9,6030.917805123131,19583.392824066337,5859.264952810532,6202.570657435729,61749.7341988444,4667.221595959177,15861.817434960694,4528.18919079664,4806.2540011217125,47839.01268493594,0.7683393032841357,0.1495640149928729,0.7670283409801318,0.7696502655881395,0.7694394975313495
14,8025.2561098134975,22832.06603609364,7825.127904527806,8225.384315099189,81932.08994109332,6201.239340796286,18467.84957621233,6039.3644765010085,6363.114205091564,63370.890093353984,0.7640152838611505,0.1509942781774302,0.7626917849779444,0.7653387827443565,0.7651259991372878
8,5643.530922349227,18842.110214453623,5478.375579199259,5808.686265499196,57821.33655528729,4365.283129980521,15311.37171638103,4231.075505614974,4499.490754346068,44779.13718829843,0.7697937933505248,0.1530792160761468,0.7684520195166794,0.7711355671843702,0.7709198454487051
11,6783.914341539644,20721.50924903265,6602.285642224211,6965.5430408550765,69363.4195101818,5221.941700682939,16670.448513619765,5075.821461845848,5368.06193952003,53445.69670746687,0.7670003068016022,0.1481094207023166,0.765702094344429,0.7682985192587755,0.7680898010400569
10,6586.318718745186,20910.92934001288,6403.029709635932,6769.60772785444,67401.39704126428,5108.971625549645,16975.07936861959,4960.18122860293,5257.76202249636,52338.40462938403,0.7671263850911922,0.1456291120440008,0.765849913098485,0.7684028570838994,0.7681976341567199
13,7524.260413931049,21817.41250287025,7333.025875572817,7715.49495228928,76847.49497658137,5810.711128262237,17617.90709729169,5656.286201376634,5965.13605514784,59403.08612237999,0.7641229398964916,0.1449345625575361,0.7628525557865887,0.7653933240063945,0.7651890798497141
2,3748.6006139298975,15490.748801613308,3612.8207089796606,3884.380518880136,38625.50702240799,2885.3988075998595,12440.585373772708,2776.354272619068,2994.443342580651,29769.11866144393,0.7674428490581057,0.1460253557121902,0.7661629039003311,0.7687227942158802,0.7685170128956409
4,4259.524087347869,16241.868275356064,4117.160450903616,4401.8877237921215,43789.99417302098,3298.545046145328,13175.354635292862,3183.0600929660845,3414.0299993245712,33954.6307402418,0.7725979384414209,0.1553367719611249,0.7712363766213776,0.7739595002614642,0.7737405971411124
12,7012.891207386111,21031.71250993152,6828.543506567297,7197.238908204926,71676.00674857857,5401.71561840607,16926.173060071622,5253.353896277542,5550.077340534598,55262.24700546752,0.7660298475161605,0.1474764872965629,0.7647371828629557,0.7673225121693654,0.767114685890757
3,4127.514200640076,16270.570567582276,3984.8989821347977,4270.1294191453535,42472.00664915556,3195.485702040576,13239.859415577732,3079.4353499223857,3311.536054158765,32928.78227666701,0.7716746785278832,0.1498068321780855,0.7703615878765185,0.7729877691792478,0.772776658940508
6,4936.468630437377,17284.891681772595,4784.962658732394,5087.974602142361,50636.16450004189,3807.445326151973,13920.414719530245,3685.429753393551,3929.460898910396,39098.44022750141,0.7722279127407657,0.1533808018915476,0.7708834954392693,0.7735723300422622,0.7733561833069322
7,5429.423400643819,18753.11031730221,5265.048161653473,5593.798639634166,55673.714497748006,4215.095070628195,15262.889614464404,4081.312402814092,4348.877738442297,43273.69024697259,0.7717171823061431,0.1509428214308656,0.7703941344529193,0.7730402301593668,0.7728275190659872
