Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1.0,37587.842229345864,156095.52299092928,34055.13288995197,41120.55156873976,40552.58536529232,28689.332960415624,124930.81233718444,25861.93446066952,31516.73146016173,31062.160580631262,1.0460770479633152,25.251069334962327,0.47460205137108213,1.6175520445555485,1.525673983555682
2.0,41332.78064956549,166960.7036243658,37554.173642112444,45111.38765701853,44503.887613804894,31952.13514568319,135543.42274010918,28884.555075271925,35019.71521609445,34526.52949403858,0.7668921685706821,0.14602427136338128,0.7635873889246086,0.7701969482167556,0.7696656270780816
3.0,44065.78905529888,166872.45571640832,40289.179249319975,47842.39886127779,47235.21991522495,33751.09082492055,133327.2315620024,30733.66696093191,36768.5146889092,36283.39275795651,0.7702284692168683,0.14488409863282245,0.7669494936347205,0.773507444799016,0.7729802722711712
4.0,46469.716971213136,176015.8659485827,42486.17611364354,50453.257828782735,49812.80984402446,36295.67230574087,145585.64900249426,33000.819435792,39590.525175689734,39060.80000000239,0.7728670153781378,0.15387603412938497,0.7693845368773973,0.7763494938788784,0.7757896034654225
5.0,48676.91491561559,169742.3640837047,44835.35416230591,52518.47566892527,51900.85432882817,37391.13732901029,134555.79966369853,34345.90886227724,40436.365795743346,39946.77362024407,0.7715797737875756,0.15013517322313435,0.7681819573835285,0.7749775901916227,0.7744313112035672
6.0,52478.25687675412,181269.37633311216,48375.82007108543,56580.69368242282,55921.13037461939,40604.28195832723,145810.6464959441,37304.337009302544,43904.22690735191,43373.683060060845,0.7697175644871316,0.15228519955417777,0.7662710893006026,0.7731640396736605,0.7726099376406571
7.0,55897.42084311423,189070.57728287863,51618.4294833772,60176.412202851265,59488.46359352944,43406.371658365024,153569.56241269092,39930.829138074594,46881.914178655454,46323.13888736353,0.7674845384866188,0.14824547356037615,0.7641294892261731,0.7708395877470645,0.7703001845842894
8.0,59955.2323356948,193902.2601462568,55566.89170796219,64343.57296342742,63638.043884662315,46418.14787668546,157074.71551718266,42863.277731419126,49973.0180219518,49401.48894718734,0.7679993119263838,0.14700103720822474,0.7646724263943993,0.7713261974583684,0.7707913222780544
9.0,62777.96057564169,198365.7862744593,58288.60269810207,67267.31845318132,66545.54847307292,49037.73732177419,163328.36270278232,45341.33641768445,52734.138225863935,52139.85474929698,0.7710331935853759,0.15737360633897324,0.7674715590283099,0.774594828142442,0.7740222115292136
10.0,69085.13395341537,216309.86505012834,64189.67080480202,73980.59710202871,73193.53613790427,54084.486392044404,177292.6459975226,50072.04981269613,58096.922971392676,57451.82931901281,0.7685351325902259,0.14382515913307545,0.7652801226247015,0.7717901425557503,0.7712668230650448
11.0,73970.34261587153,221721.85427465357,68952.39687126926,78988.2883604738,78181.53543520882,57300.626657541245,179933.64063358313,53228.41984111422,61372.83347396827,60718.13034869625,0.7664936418017912,0.14359537974176714,0.7632438321378906,0.7697434514656919,0.7692209680459127
12.0,78420.70179838857,230344.5678588998,73207.60926016714,83633.79433661001,82795.66696956719,60924.31746534604,188327.22660532288,56662.14940605176,65186.48552464032,64501.241656966886,0.7688176214606036,0.1435756728567095,0.7655682577973029,0.7720669851239044,0.7715445734092227
13.0,82468.98992637968,237686.3723162355,77089.73976443229,87848.24008832707,86983.39897111263,63776.46618469539,192783.96832730967,59413.434418339864,68139.49795105091,67438.03786764572,0.7681928863096845,0.15534273106444438,0.7646772139423854,0.7717085586769836,0.7711433315679336
14.0,85683.12505469462,238663.29905097277,80281.7653656219,91084.48474376735,90216.08899950184,66215.30729454051,193467.26916496464,61836.81125858554,70593.80333049549,69889.85700164815,0.7651620841005508,0.1427973644193988,0.7619303348917374,0.7683938333093641,0.767874253532971
