Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1.0,909.0149123770657,2002.9828984031838,748.7458459690015,1069.2839787851296,1043.5169528476176,791.8465130966985,1740.5473304699892,652.5762797283246,931.1167464650724,908.7257773532333,0.08732878061832092,0.001742735187298147,0.08718933532316267,0.08746822591347916,0.0874458067990628
2.0,1005.8157986671081,1925.4093986530472,851.7537909378136,1159.8778063964025,1135.1087112858181,879.6627828071978,1674.3683499250665,745.6878734459474,1013.6376921684482,992.0980710684062,0.0879672487018717,0.0017560954842010014,0.08782673437995678,0.08810776302378662,0.08808517203814903
3.0,1408.8812422960762,2931.12932288557,1174.3463591102634,1643.4161254818887,1605.7091209192408,1233.677942971825,2539.2048193444152,1030.5029752076869,1436.8529107359627,1404.1877509421056,0.08794922387987338,0.0018221008121488494,0.08780342812879768,0.08809501963094907,0.0880715795312234
4.0,1552.6857081740077,2859.862446274937,1323.853257989151,1781.5181583588646,1744.7279541640955,1362.2997241204496,2510.5908202036844,1161.414311066011,1563.1851371748883,1530.8880772078558,0.08803987070497367,0.0016978721577026264,0.08790401513385912,0.08817572627608822,0.08815388429433142
5.0,1956.9307546252905,3742.936610597023,1657.4389533307403,2256.4225559198408,2208.272197369798,1717.019670217153,3282.1488534914315,1454.3978909794328,1979.6414494548728,1937.4188150499006,0.08791267795835668,0.001816802049528036,0.08776730618880325,0.0880580497279101,0.08803467779319672
6.0,2306.579191093347,3678.628431489804,2012.2330212648133,2600.925360921881,2553.6022837831624,2021.9094075046935,3229.996929217692,1763.46057463681,2280.3582403725773,2238.8065053479854,0.08776201724646415,0.001738674430979503,0.08762289687351299,0.08790113761941531,0.087878770743894
7.0,2706.665909726228,4426.0967878346655,2352.510913902992,3060.8209055494644,3003.8821514417805,2369.8405582711207,3868.006460028146,2060.3412686350057,2679.3398479072357,2629.580549981394,0.08778710551415747,0.0018026061951067493,0.08764286962865817,0.08793134139965679,0.08790815208504932
8.0,2961.0720538212627,4793.480940720571,2577.520743509729,3344.6233641327963,3282.958460339067,2588.876608873344,4166.427539739474,2255.499098469618,2922.25411927707,2868.655835153517,0.08772234260712165,0.0016819047128152449,0.08758776467421713,0.0878569205400262,0.08783528396869346
9.0,3462.581679971808,5663.811872147762,3009.3906708105746,3915.7726891330417,3842.9115640924,3033.8382836355945,4966.500725277799,2636.4427615920395,3431.2338056791496,3367.3431188894983,0.08776423984824411,0.001758725088884915,0.08762351511799867,0.08790496457848956,0.0878823397647588
10.0,4062.442763047739,6776.02104584114,3520.2581204109383,4604.62740568454,4517.458458720235,3551.3233476869086,5900.9180770641,3079.160239397023,4023.4864559767943,3947.575119305842,0.08764710458554276,0.0017178270722547626,0.08750965231805696,0.08778455685302854,0.08776245816473607
11.0,4927.01232003988,6616.400946289534,4397.599710731718,5456.4249293480425,5371.309387457028,4307.265749240581,5796.939399482343,3843.4225150722655,4771.108983408896,4696.53526239324,0.08748667509314655,0.0017658261045061683,0.08734538217375426,0.08762796801253882,0.08760525184902479
12.0,5981.2749267294275,8726.99687491197,5282.982573458074,6679.567280000781,6567.300343018087,5227.482868883417,7605.1686451961905,4618.9538197271895,5836.011918039645,5738.1765456577095,0.08763582478322818,0.0018700937163384894,0.08748618887058404,0.0877854606958723,0.08776140319975845
13.0,6376.152405460025,8966.872283725545,5658.666374671279,7093.638436248771,6978.285663692744,5572.920501547058,7868.565794459562,4943.315678233876,6202.525324860239,6101.301525556462,0.08748596142520937,0.0018890334456997339,0.0873348100464346,0.08763711280398412,0.08761281166100832
14.0,6972.687924249635,9458.662172929837,6215.851229770982,7729.524618728287,7607.845300478317,6093.377479180886,8231.730682356652,5434.713946688582,6752.041011673192,6646.145340685689,0.08757416858904563,0.0017560031001814629,0.087433661659256,0.08771467551883524,0.08769208572165585
