Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
0.25,81660.70339488002,69336.99664513339,75583.1593493458,87738.24744041424,86761.13914018287,19414.98838009411,16561.076035592498,17963.372735954163,20866.604024234057,20633.2226313543,0.05953010796030636,0.002378350974384108,0.059321640136461365,0.05973857578415136,0.05970505967312296
0.375,88587.79812323347,72272.68342258873,82252.93451444803,94922.66173201891,93904.18325344232,20999.770817807286,17161.136554065568,19495.558516652167,22503.983118962406,22262.145575086637,0.05924506460584063,0.0023914902693350963,0.05903544509317645,0.059454684118504804,0.05942098284638237
0.5,91692.61079715755,70751.09129135989,85491.11816843071,97894.1034258844,96897.06747255301,21820.35978725658,16797.01544350228,20348.06352219231,23292.65605232085,23055.949762705222,0.0594559366804588,0.002277715489284546,0.05925628978372097,0.059655583577196636,0.059623485637888184
0.625,99921.99400404963,78659.37888143025,93027.32214231692,106816.66586578234,105708.18502993863,23646.053019657294,18587.768197734968,22016.79323922457,25275.312800090018,25013.370929695226,0.05926492090688626,0.0024116687564315646,0.0590535327043446,0.059476309109427916,0.059442323478764124
0.75,111082.08497738474,82943.4228840574,103811.90700233956,118352.26295242993,117183.4106676331,26254.451738317246,19573.57563250775,24538.78371415989,27970.119762474602,27694.285732431243,0.059112344592100456,0.002358469299491827,0.05890561944187421,0.0593190697423267,0.05928583380711352
0.875,109762.01396621096,71902.6726201703,103459.58263828317,116064.44529413874,115051.18106832347,25692.36740111611,16766.140194970492,24222.777421180243,27161.957381051976,26925.68619048984,0.05865031009884734,0.0024029958999719353,0.05843968209172349,0.058860938105971185,0.0588270746946195
1.0,118844.68287048262,81771.84793793215,111677.1960802628,126012.16966070244,124859.82740171567,27653.364271550185,18975.664057930644,25990.104544631675,29316.623998468694,29049.215836152398,0.05824679589173791,0.00231223839723682,0.058044122984301436,0.058449468799174384,0.05841688435739914
1.125,117923.31156169045,82350.6582293751,110705.09074475389,125141.53237862702,123981.03343032007,27401.63948889263,19260.883638813026,25713.3796228084,29089.89935497686,28818.47183166495,0.05804037306025244,0.002424288311358017,0.057827878725276276,0.05825286739522861,0.058218703927732235
1.25,126522.78490540522,88136.45309175733,118797.42612726564,134248.1436835448,133006.11036748317,29076.225760573223,20153.575861036472,27309.719409031368,30842.732112115078,30558.724623963462,0.0575547760421007,0.002298502551795232,0.05735330711247857,0.05775624497172283,0.057723854097728726
1.375,127755.49807037612,84687.12227415534,120332.4809133899,135178.51522736234,133985.09044549166,29317.55047131756,19457.167032213387,27612.085923367704,31023.01501926742,30748.821438263818,0.05744064784184652,0.002275717464653784,0.05724117607647124,0.057640119607221804,0.05760804982440333
1.5,140660.28187159912,88625.00384312712,132892.1005188804,148428.46322431782,147179.54517114116,32076.15045745203,20270.096700703652,30299.430791668656,33852.87012323541,33567.22060434843,0.05709804549786596,0.002471709029635645,0.05688139463004373,0.057314696365688186,0.05727986463767184
1.625,139906.32903192574,88215.98189854414,132173.99937460877,147638.6586892427,146395.50464022494,31621.055411643687,19841.829300071215,29881.87434886516,33360.236474422214,33080.62216980935,0.05665287481754357,0.00228576608857052,0.05645252226763181,0.056853227367455336,0.056821015977784675
1.75,141117.57162849663,86931.5929057672,133497.8215614834,148737.32169550986,147512.2674663039,31812.458883353574,19535.467619170566,30100.13111246288,33524.786654244264,33249.48964855931,0.05648247605372472,0.002362793069045478,0.05627537191535108,0.05668958019209837,0.05665628332561727
1.875,153101.31121541516,94135.2009523982,144850.14866576684,161352.47376506348,160025.90511275665,34393.96677425061,21271.020000810127,32529.513925074076,36258.41962342715,35958.66492964438,0.05618993496338139,0.0024382977704027584,0.05597621266774183,0.05640365725902095,0.056369296367935785
