Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases"
1.0,1308.039156839555,3452.833585474527,1005.3905101867272,1610.687803492383,1562.0299077235213,308.78837969287486,816.7204012693215,237.20099558674377,380.37576379900594,368.86640628914955
1.5,2881.451254970176,7264.979107974101,2244.6594604744514,3518.2430494659,3415.8637753283137,682.886900118617,1748.6384128239124,529.6148017027953,836.1589985344386,811.5168999442975
2.0,6030.181383770419,11479.406034174106,5023.985569631976,7036.377197908862,6874.607530048509,1420.6851745428953,2710.2495023085553,1183.1256966069043,1658.2446524788863,1620.051373096493
2.5,13879.129214697923,28142.63032048359,11412.364231996142,16345.894197399704,15949.303646799071,3248.919955293606,6551.139326164174,2674.6978267095483,3823.142083877664,3730.822356729279
3.0,24894.009223306857,33807.045187020674,21930.74550963539,27857.272936978323,27380.858525382177,5790.149557559872,7795.839213211066,5106.826678250842,6473.472436868902,6363.61219527979
3.5,45225.869127003294,57814.1654931574,40158.327205065565,50293.41104894102,49478.68437043439,10493.414017166255,13429.173266329148,9316.316710241661,11670.511324090849,11481.265217413737
4.0,53662.786414466995,61330.45311115365,48287.03395689686,59038.53887203713,58174.260093154284,12352.115547385187,14106.06285980998,11115.687341843826,13588.543752926547,13389.758807359205
4.5,79291.0701077224,76060.2898644786,72624.21425682199,85957.9259586228,84886.07191041601,18215.541359012812,17505.939262024935,16681.10632329987,19749.976394725752,19503.27983467982
5.0,107750.58449741284,94434.5900773589,99473.17981612138,116027.9891787043,114697.20148586859,24519.093260012625,21419.90564961128,22641.59024812183,26396.59627190342,26094.7434572001
5.5,119597.22265788366,94937.80711530267,111275.7098689362,127918.73544683111,126580.85633717057,27126.59896361372,21728.85392796157,25222.01593873829,29031.181988489152,28724.97542410349
6.0,135556.9497546652,98475.19769636806,126925.37670780503,144188.52280152537,142800.7942050806,30564.164661896342,22197.79723141424,28618.47769944804,32509.851624344643,32197.03663420777
6.5,172486.67910949254,125323.47831355705,161501.79374896322,183471.56447002187,181705.48551075044,38737.50496155719,27970.48709956722,36285.82872018948,41189.181202924905,40795.016522756
7.0,190134.76572462305,126744.5041059082,179025.3242503201,201244.20719892601,199458.10291170946,42646.53832768378,28440.23832688749,40153.68733239509,45139.38932297247,44738.60483165703
7.5,214715.9669682124,130693.70912966608,203260.36877184123,226171.56516458356,224329.80803408366,47806.60088800556,29087.93860975712,45256.97750296957,50356.22427304155,49946.31228337638
8.0,230646.13810202922,134926.35856819668,218819.53864173495,242472.73756232348,240571.33324347585,51144.92874300605,29919.15385334254,48522.44746826271,53767.41001774939,53345.78440688509
8.5,253106.02755982912,147060.48224572552,240215.84480818507,265996.2103114732,263923.8099366235,55843.82496052704,32293.161225108193,53013.25658849894,58674.39333255514,58219.31282142115
9.0,267883.69933193095,142861.45153766632,255361.5710867056,280405.8275771563,278392.6006300045,59081.25576476511,31715.68055916151,56301.304874781956,61861.20665474827,61414.264095634426
9.5,299405.148855485,150274.83805426167,286233.2205718794,312577.07713909063,310459.3795363195,65499.51628984932,32628.66155975677,62639.54055725218,68359.49202244647,67899.68358570887
10.0,310086.66879396606,160779.70501921617,295993.9652423064,324179.3723456257,321913.63843899197,67732.37081460259,35161.82407133182,64650.35767797153,70814.38395123364,70318.87777395845
10.5,337607.4505017921,168045.47405770695,322877.88591644634,352337.0150871378,349968.8907745364,73438.98944767004,36653.307453867754,70226.24443067017,76651.73446466992,76135.21005956185
11.0,349530.8978084402,172123.28784056695,334443.90365339944,364617.891963481,362192.30243192264,75788.21622932292,37355.33484880748,72513.93692874635,79062.49552989949,78536.0780398905
11.5,343831.1816373715,155061.74151219556,330239.6704757216,357422.6927990214,355237.53736958536,74390.74841016682,33419.156762947714,71461.48399118823,77320.01282914542,76849.06460467972
12.0,365397.4561882482,161336.09882056393,351255.98346575664,379538.9289107397,377265.3542116315,79026.42707405733,34915.2375623776,75966.02780075632,82086.82634735834,81594.79510750878
12.5,384325.44762844656,173488.07181749787,369118.827081526,399532.06817536714,397087.2458847277,82675.1539969186,37128.56862605764,79420.7512669102,85929.556726927,85406.33486362788
13.0,390366.5149601644,171123.09103696732,375367.19030946033,405365.8396108684,402954.34501629823,83823.47480083897,36626.019090337904,80613.12167041203,87033.82793126591,86517.68807824109
13.5,418084.9019787637,182280.81823259912,402107.5773892021,434062.2265683253,431493.495456714,89573.2205542534,38840.15964890134,86168.7930130679,92977.64809543891,92430.3062114302
