Tau,R0 Estimate,Lower Confidence Bound,Upper Confidence Bound,Samples
1,1.2116140605625683,1.208228647202534,1.2149994739226024,50000000
2,1.2175064664824067,1.2141139673721568,1.2208989655926565,50000000
3,1.2229446162627693,1.2195315544131557,1.2263576781123828,50000000
4,1.2243863667273476,1.2209614497868782,1.227811283667817,50000000
5,1.2309954411205155,1.2275555339583961,1.234435348282635,50000000
6,1.2334317268114514,1.2299778095686507,1.2368856440542522,50000000
7,1.2401177275995772,1.2366593583540908,1.2435760968450635,50000000
8,1.242240032964053,1.2387712667384991,1.245708799189607,50000000
9,1.245110892056755,1.241640254504544,1.2485815296089662,50000000
10,1.2493319719228033,1.2458448063188834,1.2528191375267232,50000000
11,1.2549547782322426,1.2514482269187155,1.2584613295457696,50000000
12,1.2592842321526838,1.2557762004035609,1.2627922639018068,50000000
13,1.2582298956975275,1.2547174950898132,1.2617422963052418,50000000
14,1.262708397081698,1.2591879118443303,1.2662288823190655,50000000
