Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
5,4611.178436886989,17160.978295227917,4274.829442905786,4947.527430868193,48934.51410796401,3585.2772696803545,14126.703977874198,3308.3989595114326,3862.155579849276,38176.40872429116,0.7706907051799627,0.1410416587840508,0.7679263394645974,0.7734550708953281,0.7730106340199847
6,4823.740499277398,17245.641327206475,4485.732140361196,5161.748858193601,51074.06056138996,3744.783664093889,14094.74847313283,3468.531670308976,4021.035657878801,39766.21645563901,0.7715132977612315,0.151061096788533,0.768552554669525,0.7744740408529379,0.7739980316906703
7,5466.574679102583,19121.613702523715,5091.797937270243,5841.351420934923,57810.972356201935,4252.665551323067,15707.98351034236,3944.794731822866,4560.536370823268,45110.38887813872,0.7731138336801586,0.1534903591615622,0.7701054779208508,0.7761221894394664,0.7756385254198485
13,8054.447916949011,22854.47510991707,7606.508435938966,8502.387397959055,84303.70579715203,6225.161659360939,18331.05603911928,5865.879563008346,6584.443755713531,65266.80699478899,0.7659443148314996,0.1468107124402813,0.7630668777422235,0.7688217519207757,0.7683591361598269
1,3280.8527428630814,13654.357358257352,3013.2322563208427,3548.4732294053206,35054.46935107293,2461.922871720511,10665.346306660243,2252.8859252834973,2670.9598181575243,26373.522072725467,0.7571382091259548,0.1503724642070204,0.7541909629848318,0.7600854552670777,0.7596116160574002
14,8388.494028076924,23257.01175125357,7932.664973872106,8844.323082281742,87710.37829387948,6477.109871889392,18898.731831873563,6106.701534449864,6847.51820932892,67879.66347873796,0.7636469620366353,0.1480192541677384,0.7607458379647628,0.7665480861085078,0.7660816621073998
11,7024.519498103526,21406.260726416294,6604.964497429024,7444.074498778027,73766.21154056673,5440.432475713071,17282.344027412033,5101.704757091487,5779.160194334656,57247.01738270189,0.767082463904943,0.148211763630536,0.7641775667169328,0.7699873610929531,0.7695203304745886
10,6556.798612216225,20418.329547638816,6156.606706837803,6956.990517594645,68926.50246343465,5066.652917725129,16630.100472010257,4740.708937880901,5392.596897569355,53401.937285046624,0.7663989782764965,0.1419587081358032,0.7636166387241164,0.7691813178288766,0.7687339912360417
4,4321.522574007769,16447.33859468212,3999.160661136644,4643.884486878896,45920.57219419388,3347.3813950843,13376.03961759794,3085.215836021571,3609.546954147029,35673.97667876825,0.7735822080647604,0.1528409465754422,0.7705865805582517,0.7765778355712691,0.7760962179179736
8,5738.1563299696645,19340.018259353667,5359.098937482862,6117.213722456466,60562.7132176172,4470.180618259127,15845.159542523032,4159.6211979327645,4780.740038585491,47308.10299690565,0.7695232760384402,0.1435471602944648,0.7667098033958387,0.7723367486810416,0.7718844167109296
3,3982.65450979512,15594.57740915594,3677.006409034445,4288.3026105557965,42391.62481917377,3057.5275458632063,12456.71983998705,2813.380323344405,3301.674768382009,32624.223539504168,0.7721303950372942,0.1493579430037132,0.7692030331463715,0.7750577569282169,0.7745871145799309
12,7031.911828689366,20845.2530576578,6623.352376273039,7440.471281105693,73747.85729655463,5438.651156356782,16945.930089806814,5106.517029751232,5770.785282962332,57173.8690205963,0.7664472649131121,0.1509504813155561,0.7634886898448373,0.7694058399813869,0.7689301793799317
9,6089.249303622619,19800.35123867552,5701.169550532149,6477.32905671309,64149.36099121104,4737.482538849438,16230.879324683743,4419.363149711479,5055.601927987398,50044.56746107616,0.7705183620342961,0.1455108535201588,0.7676664017117042,0.7733703223568881,0.7729118025860305
2,3682.9513825184,15188.748201845636,3385.25738805975,3980.6453769770496,39327.840582049845,2827.053850182202,12193.809267234536,2588.059580200897,3066.0481201635066,30276.24164177854,0.7657345949043094,0.1445524325913907,0.7629014192867416,0.7685677705218772,0.7681122708346355
