Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
1.0,2146.032957063897,5596.6535195950855,1655.473660891662,2636.5922532361324,2557.7232962274593,1187.5571170242195,3075.6680537459642,917.9678793802552,1457.1463546681837,1413.8035372765885,0.05740611435904978,0.00448286407658504,0.057013181218103,0.057799047499996564,0.05773587424603435
2.0,2369.183812311157,8797.603135485018,1598.054067181174,3140.3135574411394,3016.33629477112,1361.0540853287616,5068.102317790398,916.8234933795916,1805.284677277932,1733.8641502758805,0.058687578733964935,0.004969740294757045,0.05825196979504831,0.05912318767288155,0.05905315327960008
3.0,2366.363542406371,6484.427365726792,1797.9888675272553,2934.738217285487,2843.3586059976387,1368.6556937283144,3702.7895572591983,1044.0978427333876,1693.213544723241,1641.0332285072811,0.059224998161550184,0.005689437643779558,0.05872630612775242,0.05972369019534795,0.059643513709281816
4.0,3815.4097801722223,8128.676678548567,3102.9129467915227,4527.906613552922,4413.355971950183,2231.029683755293,4686.075267625919,1820.2846238640375,2641.7747436465484,2575.7378043349054,0.059233153978658803,0.005297699180022643,0.058768798704210416,0.0596975092531072,0.0596228532095606
5.0,2547.0515281418466,5652.184761213573,2051.6247934711305,3042.478262812563,2962.826750462111,1488.6083988598343,3401.4134732559414,1190.4668409468632,1786.7499567728055,1738.8166816376402,0.058909044527112646,0.004949036542284746,0.05847525031876767,0.05934283873545762,0.05927309610284312
6.0,3796.4054840319427,8788.978972194207,3026.0316662537607,4566.779301810125,4442.923572260109,2180.383825408707,5061.6556385012755,1736.7182994304148,2624.0493513869988,2552.7196720441643,0.0586085660882837,0.005041484852063761,0.058166668577202776,0.059050463599364625,0.05897941817004421
7.0,4390.083674322665,10136.18080025475,3501.6245796443786,5278.542769000951,5135.702050888163,2497.1875215948357,5680.428893765193,1999.2851250420667,2995.0899181476047,2915.040384860505,0.05841887810566052,0.0047428680625203334,0.05800315502928254,0.05883460118203851,0.058767763909369934
8.0,4622.869728054552,9218.985128806637,3814.80490139062,5430.934554718483,5301.01910806063,2648.659347010407,5231.657244253751,2190.0927970944895,3107.2258969263244,3033.5005271430236,0.05859950776345168,0.005016591749204533,0.058159792188946846,0.059039223337956505,0.058968528706314076
9.0,5178.4134704217095,10908.36816659106,4222.270412529199,6134.55652831422,5980.834019505441,2980.484030960717,6226.4904848551,2434.7181050946065,3526.249956826827,3438.505234262606,0.05830546737536477,0.0046395524196265895,0.05789880014796583,0.0587121346027637,0.05864675327103718
10.0,5679.0622036271725,11369.883548198042,4682.466282254531,6675.658124999814,6515.431865929677,3221.3358065604516,6450.152761948884,2655.9653779594028,3786.706235161501,3695.8096271974036,0.057713761763233375,0.004764688007536153,0.05729612611949134,0.058131397406975406,0.05806425264407194
11.0,5934.138758290046,11830.281696286664,4897.187901473465,6971.089615106628,6804.375350012651,3394.6877758327582,6743.328872264976,2803.6198003266472,3985.7557513388692,3890.7276576646905,0.05817329803187702,0.005020275786438092,0.05773325954320464,0.0586133365205494,0.05854258997285157
12.0,6486.446896453217,11406.21258604263,5486.66665302575,7486.227139880683,7325.488926065821,3740.7816673539464,6630.336116480747,3159.61776158451,4321.945573123383,4228.50979184929,0.058273930260312384,0.005409255597226769,0.05779979681444145,0.05874806370618331,0.05867183559135489
13.0,7829.394830848993,14849.260133096257,6527.823709094585,9130.9659526034,8921.707749474097,4542.555948593568,8668.760629833112,3782.719539502412,5302.392357684725,5180.2307646829395,0.05811850098138985,0.004482669271821497,0.05772558491551969,0.05851141704726,0.05844824653851838
14.0,6856.114000270465,13040.159194943262,5713.114653562991,7999.113346977938,7815.349290237361,3871.762035293036,7256.368681133226,3235.724964118313,4507.79910646776,4405.541171873878,0.057690018668403946,0.004887844315377685,0.057261588096678175,0.05811844924012971,0.0580495689383878
