Tau,Exposed Mean,Exposed CI Lower,Exposed CI Upper,Symptomatic Mean,Symptomatic CI Lower,Symptomatic CI Upper,Asymptomatic Untested Mean,Asymptomatic Untested CI Lower,Asymptomatic Untested CI Upper,Asymptomatic Tested Mean,Asymptomatic Tested CI Lower,Asymptomatic Tested CI Upper,Asymptomatic Positive Mean,Asymptomatic Positive CI Lower,Asymptomatic Positive CI Upper,Total Infections Mean,Total Infections CI Lower,Total Infections CI Upper,Total Detections Mean,Total Detections CI Lower,Total Detections CI Upper,Percent Detection Mean,Percent Detection CI Lower,Percent Detection CI Upper
1,1.5414854173716953e-06,1.0642083063165123e-06,2.0187625284268784e-06,0.31287542261276013,0.23161312515000929,0.39413772007551096,1.5331868016351562,1.104004408363322,1.9623691949069904,0.1024690663786248,0.073957963092366,0.1309801696648836,0.06787768504404774,0.04889408199622172,0.08686128809187377,2.0164105171560056,1.4633577276254968,2.5694633066865142,0.3807531076568079,0.28153601809207873,0.4799701972215371,0.18912702800295203,0.1761127286947645,0.20214132731113957
2,1.4941443445476442e-06,1.1653827526651337e-06,1.8229059364301548e-06,0.3058685339744808,0.2482277209766277,0.36350934697233395,1.4877876260700769,1.1915495584006606,1.7840256937394932,0.09957239181345505,0.08023021626275853,0.11891456736415157,0.06594799131344359,0.05310501440726108,0.0787909682196261,1.959178037315801,1.5792869083868184,2.3390691662447836,0.37181652528792447,0.30257698336177846,0.4410560672140705,0.18997367451403574,0.1773932431698204,0.20255410585825107
3,1.5507538121730116e-06,1.1866423162601746e-06,1.9148653080858485e-06,0.31393535256348504,0.24630919179668354,0.38156151333028654,1.5420248568508372,1.215094133366496,1.8689555803351785,0.10312326947014715,0.08128057093756032,0.12496596800273398,0.06833392776687265,0.05374905800809857,0.08291879752564674,2.0274189574051547,1.6023526338651046,2.4524852809452047,0.3822692803303578,0.3013187698477434,0.46321979081297215,0.18864128136562544,0.17671484898398415,0.20056771374726673
4,1.5506006932971543e-06,1.191394255913092e-06,1.9098071306812167e-06,0.3122061701801743,0.25350766840486605,0.3709046719554826,1.5440465098803469,1.2137187980131672,1.8743742217475265,0.10326781690477867,0.08078972862953736,0.12574590518001996,0.06844897841491161,0.0533853451900764,0.08351261163974683,2.027971025980905,1.6071498070078742,2.448792244953936,0.380655148595086,0.30816671056195477,0.4531435866282172,0.18797910587815692,0.17582572542903208,0.20013248632728176
5,1.5327924048388353e-06,1.151071792322681e-06,1.9145130173549895e-06,0.31066192508325474,0.24621707432929063,0.37510677583721885,1.5254702016997297,1.176637658577508,1.8743027448219514,0.10215401264870745,0.07880449168546362,0.1255035336119513,0.06768050606960674,0.05210632819007369,0.08325468394913978,2.005968178293703,1.558152687554408,2.4537836690329984,0.3783424311528615,0.29933041753945583,0.45735444476626713,0.1888426503519487,0.17773327305740136,0.19995202764649603
6,1.574981723257114e-06,1.2215037043409784e-06,1.9284597421732497e-06,0.3162681231863768,0.25194256461856074,0.3805936817541929,1.5649717971656627,1.2455140578632222,1.8844295364681032,0.10447060864959112,0.08315868108748517,0.12578253621169708,0.06917608990900677,0.054909519862011896,0.08344265995600164,2.054888193892361,1.6391444659493157,2.470631921835406,0.38544421309538357,0.307641666535397,0.46324675965537015,0.18764396344686107,0.17836355764413495,0.1969243692495872
7,1.5282143740221996e-06,1.1695865178773736e-06,1.8868422301670255e-06,0.30771465267990156,0.24752317479684016,0.36790613056296295,1.5239388916557894,1.199214583374737,1.848663199936842,0.10186129759034164,0.08031206642878062,0.12341052875190266,0.06744600687518801,0.05316595415297225,0.08172605959740377,2.0009623770155947,1.5843445090180734,2.417580245013116,0.3751606595550896,0.30163206447902396,0.4486892546311552,0.18769486580709768,0.17738544865526376,0.1980042829589316
8,1.5616237908751645e-06,1.203040138610958e-06,1.920207443139371e-06,0.3154055949316968,0.25520731201876096,0.3756038778446326,1.55130338664434,1.227158177939032,1.875448595349648,0.10392729014335948,0.08252852381007798,0.12532605647664097,0.06888648021202455,0.054649798773202106,0.08312316165084699,2.0395243135552112,1.6261799297272446,2.452868697383178,0.3842920751437213,0.31131819807823197,0.4572659522092107,0.18866329114438316,0.17596771644765255,0.20135886584111376
9,1.5953263636522419e-06,1.2574895751914483e-06,1.9331631521130354e-06,0.32079211386901446,0.2638057342325653,0.3777784935054636,1.5823687435297669,1.2758209864607666,1.8889165005987671,0.10575683979552383,0.08546790299426817,0.12604577659677949,0.07002989697131581,0.05660356934485143,0.0834562245977802,2.078949189491985,1.686512770061995,2.471385608921975,0.39082201084033025,0.32155384677072696,0.46009017490993354,0.18816074543900885,0.17783328851209332,0.19848820236592438
10,1.5307236848851458e-06,1.2303189767965037e-06,1.8311283929737878e-06,0.31346162582306225,0.2570294437382878,0.3698938079078367,1.522989709157131,1.2528460900007534,1.7931333283135085,0.10178406134533854,0.0835704931594849,0.1199976295311922,0.06740813551345184,0.055216101643858435,0.07960016938304526,2.0056450625626683,1.6563293885042578,2.354960736621079,0.38086976133651407,0.31382492247832683,0.4479146001947013,0.18999303632169492,0.17674596997791056,0.2032401026654793
