Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper
1,1308.5605466042427,4152.776330123136,-6830.7314962875225,9447.852589496008,305.08382915480666,947.8083649298524,-1552.5864303535004,2162.7540886631136
2,4932.920065126927,7278.962953308901,-9333.585168159825,19199.42529841368,1142.3228016568212,1671.8651157579554,-2134.4726122376596,4419.1182155513025
3,21838.58514540784,25891.740614912906,-28908.293956874408,72585.46424769009,5087.270992119051,5948.675844058763,-6571.919417939531,16746.461402177632
4,57686.80451653575,65072.08217295869,-69852.13294149419,185225.74197456567,13356.09176568972,15134.890371612686,-16307.748272633178,43019.931804012616
5,113314.43316958484,89132.63105011285,-61382.31353593289,288011.1798751026,25865.642827237487,20527.466005242182,-14367.451236907484,66098.73689138246
6,162864.98993807906,129217.79715627243,-90397.23864981713,416127.21852597524,36513.22892124267,28836.332831609645,-20004.94487492215,93031.40271740749
7,177130.65027250134,121107.19592890696,-60235.09201679216,414496.39256179484,39532.230683572954,27274.695631470204,-13925.190443400592,92989.6518105465
8,238406.7068561135,138861.04858648102,-33755.94722885586,510569.3609410829,52984.29903603984,30877.801280235628,-7535.07939500676,113503.67746708644
9,298608.261926507,157526.9379816232,-10138.86311234918,607355.3869653632,65603.75807794958,34414.03321302411,-1846.507582342907,133054.02373824205
10,323463.5901582178,170997.0914516508,-11684.550548119703,658611.7308645553,70705.39494329941,37530.423196699514,-2852.882846778244,144263.67273337708
