Tau,Average Total Infections,Infections Std Dev,Infections Conf Interval Lower,Infections Conf Interval Upper,"Upper Confidence Bound, Total Infections",Average Total Detected Cases,Detected Cases Std Dev,Detected Cases Conf Interval Lower,Detected Cases Conf Interval Upper,"Upper Confidence Bound, Total Detected Cases",Average Percent Detected Cases,Percent Detected Cases Std Dev,Percent Detected Conf Interval Lower,Percent Detected Conf Interval Upper,"Upper Confidence Bound, Percent Detected Cases"
0.25,18018.672953495956,31628.739481226577,15246.342644964001,20791.00326202791,20345.28589080786,3889.437774502797,6904.157182585652,3284.272835080794,4494.6027139248,4397.308201390127,0.05414694345364059,0.0023772613066991286,0.05393857114162436,0.054355315765656824,0.054321815010403715
0.375,20152.95119387772,31889.159066449483,17357.79452170022,22948.107866055223,22498.720619435662,4346.974757978515,6835.201569932125,3747.853933435521,4946.09558252151,4849.772803761464,0.054238432558738836,0.0024414113316208277,0.05402443735244036,0.05445242776503731,0.05441802299713808
0.5,24301.3378759761,36820.00066230008,21073.981823521033,27528.693928431167,27009.820455358935,5274.119398049878,8025.379056191272,4570.676834107592,5977.5619619921645,5864.4670073831385,0.05430640485340011,0.0024238710333077517,0.05409394709378562,0.0545188626130146,0.05448470502586878
0.625,30785.20070416106,40378.780435840934,27245.909582860335,34324.49182546179,33755.467445605704,6661.629434111772,8752.902243490258,5894.417822923518,7428.841045300026,7305.4937149130465,0.05431660618292835,0.002337577951898507,0.05411171220640896,0.05452150015944774,0.05448855862852266
0.75,30501.182430765686,41620.70081987056,26853.03418844461,34149.33067308676,33562.8049480012,6595.483643550156,8989.791667002099,5807.508140428669,7383.459146671642,7256.773531773508,0.0540704987032971,0.002328521868304331,0.053866398512917676,0.05427459889367653,0.054241784982563025
0.875,40523.97328118596,52156.76694438584,35952.31509415058,45095.631468221334,44360.6297756124,8726.759584638628,11226.275934581361,7742.75119429933,9710.767974977927,9552.56545789303,0.053886552649237245,0.00231087901917176,0.05368399889435229,0.0540891064041222,0.05405654111892504
1.0,40005.09466644581,50242.76914040142,35601.202701191076,44408.98663170054,43700.95730927472,8597.13087930858,10770.814129877119,7653.044742788776,9541.217015828383,9389.432941008768,0.05377612615826216,0.002327308718341895,0.05357213230321146,0.053980120013312864,0.05394732319810711
1.125,46939.77356479435,57305.20584485719,41916.84310325453,51962.70402633417,51155.14969045701,10061.53644276195,12348.24414984372,8979.185009373858,11143.887876150042,10969.874399422064,0.0535452338645124,0.0021795593765319803,0.053354190572306864,0.05373627715671793,0.053705562449408696
1.25,51679.991563663054,56947.191391348424,46688.441875958495,56671.54125136761,55869.03211374034,11019.578822303783,12073.929589981728,9961.27167840843,12077.885966199137,11907.7381751265,0.053399551334206305,0.0023647452705834633,0.05319227608096748,0.05360682658744513,0.05357350221022058
1.375,58246.19705525581,62875.820709077154,52734.98964438002,63757.40446613161,62871.34811423723,12367.685133871988,13332.761098780524,11199.038570751616,13536.33169699236,13348.44424635334,0.05326624652133471,0.002291059739953602,0.05306542997094702,0.053467063071722394,0.0534347770830504
